2018_rank,City,State,2018_estimate,2010_census,Change (%),2016_land_area (km2),2016_population_density (/km2),Location,Description,Nickname,County,Govern_type,Govern_body,Govern_mayor,Area_land,Area_water,Area_metro,Elevation,CSA,Time_zone,ZIP_code,Area_code,FIPS_code,Airport,Website,Area_land (km2),Area_water (km2),Area_metro (km2),Elevation (m)
1,New York City,New York,8398748,8175133,2.74,780.9,10933,40°39′49″N 73°56′19″W,"The City of New York, usually called either New York City (NYC) or simply New York (NY), is the most populous city in the United States. With an estimated 2018 population of 8,398,748 distributed over a land area of about 302.6 square miles (784 km2), New York is also the most densely populated major city in the United States. Located at the southern tip of the state of New York, the city is the center of the New York metropolitan area, the largest metropolitan area in the world by urban landmass and one of the world's most populous megacities, with an estimated 19,979,477 people in its 2018 Metropolitan Statistical Area and 22,679,948 residents in its Combined Statistical Area. A global power city, New York City has been described as the cultural, financial, and media capital of the world, and exerts a significant impact upon commerce, entertainment, research, technology, education, politics, tourism, art, fashion, and sports. The city's fast pace has inspired the term New York minute. Home to the headquarters of the United Nations, New York is an important center for international diplomacy.",,Bronx (The Bronx)Kings (Brooklyn)New York (Manhattan)Queens (Queens)Richmond (Staten Island),Mayor–Council,New York City Council,Bill de Blasio (D),302.643 sq mi (783.84 km2),165.841 sq mi (429.53 km2),"13,318 sq mi (34,490 km2)",33 ft (10 m),22679948.0,UTC−05:00 (EST),"100xx-104xx, 11004-05, 111xx-114xx, 116xx","212-646-332,718-347-929,917",36-51000,"John F. Kennedy International Airport, Newark Liberty International Airport, LaGuardia Airport",NYC.gov,783.84,429.53,34490.0,10.0
2,Los Angeles,California,3990456,3792621,5.22,1213.9,3276,34°01′10″N 118°24′39″W,"Los Angeles (/lɔːs ˈændʒələs/ (listen); Spanish: Los Ángeles), officially the City of Los Angeles and often known by its initials L.A., is the most populous city in California, the second most populous city in the United States, after New York City, and the third most populous city in North America. With an estimated population of nearly four million, Los Angeles is the cultural, financial, and commercial center of Southern California. The city is known for its Mediterranean climate, ethnic diversity, Hollywood and the entertainment industry, and its sprawling metropolis. Los Angeles is the largest city on the West Coast of North America.","L.A., City of Angels, The Entertainment Capital of the World, The Big Orange, La-la-land, Tinseltown",Los Angeles,Mayor-Council-Commission,Los Angeles City Council,Eric Garcetti (D),"468.74 sq mi (1,214.03 km2)",34.02 sq mi (88.12 km2)  6.7%,"13,131,431 (U.S.: 2nd)",305 ft (93 m),18679763.0,UTC−08:00 (Pacific),"90001-90084, 90086-90089, 90091, 90093-90097, 90099, 90101-90103, 90174, 90185, 90189, 90291-90293, 91040-91043, 91303-91308, 91311, 91316, 91324-91328, 91330, 91331, 91335, 91340, 91342-91349, 91352-91353, 91356-91357, 91364-91367, 91401-91499, 91504-91505, 91601-91609","213-323,310-424,747-818",06-44000,,Official website ,1214.03,88.12,,93.0
3,Chicago,Illinois,2705994,2695598,0.39,588.7,4600,41°50′15″N 87°40′54″W,"Chicago (/ʃɪˈkɑːɡoʊ/ (listen), locally also /ʃɪˈkɔːɡoʊ/), officially the City of Chicago, is the most populous city in Illinois, as well as the third most populous city in the United States. With an estimated population of 2,705,994 (2018), it is the most populous city in the Midwest. Chicago is the principal city of the Chicago metropolitan area, often referred to as Chicagoland, and the county seat of Cook County, the second most populous county in the United States. The metropolitan area, at nearly 10 million people, is the third-largest in the United States.","Windy City, Chi-Town, City of Big Shoulders, Second City, My Kind of Town","Cook, DuPage",Mayor–council,Chicago City Council,Lori Lightfoot (D),227.34 sq mi (588 km2),6.80 sq mi (17.62 km2)  3.0%,"10,874 sq mi (28,160 km2)",594 ft (181 m),9901711.0,UTC−06:00 (Central),"606xx, 607xx, 608xx","312-872,773-872",17-14000,"Chicago O'Hare, Chicago Midway",www.cityofchicago.org,588.0,17.62,28160.0,181.0
4,Houston,Texas,2325502,2100263,10.72,1651.1,1395,29°47′12″N 95°23′27″W,"Houston (/ˈhjuːstən/ (listen) HEW-stən) is the most populous city in the U.S. state of Texas, fourth most populous city in the United States, as well as the sixth most populous in North America, with an estimated 2018 population of 2,328,419. Located in Southeast Texas near Galveston Bay and the Gulf of Mexico, it is the seat of Harris County and the principal city of the Greater Houston metropolitan area, which is the fifth most populous metropolitan statistical area in the United States and the second most populous in Texas after the Dallas-Fort Worth metroplex, with a population of 6,997,384 in 2018.",Space City     more ...,"Harris, Fort Bend, Montgomery",Mayor–council,Houston City Council,Sylvester Turner (D),"599.59 sq mi (1,552.9 km2)",,"1,062 sq mi (2,750 km2)",80 ft (32 m),,UTC−6 (CST),"770xx, 772xx  x","713,281,832,346",48-35000,"George Bush Intercontinental Airport (IAH), William P. Hobby Airport (HOU)",houstontx.gov,1552.9,,2750.0,32.0
5,Phoenix,Arizona,1660272,1445632,14.85,1340.6,1200,33°34′20″N 112°05′24″W,"Phoenix (/ˈfiːnɪks/) is the capital and most populous city of Arizona, with 1,660,272 people (as of 2018[update]). It is also the fifth most populous city in the United States, and the most populous American state capital, and the only state capital with a population of more than one million residents.","Valley of the Sun, The Valley",Maricopa,Council-Manager,Phoenix City Council,Kate Gallego,"517.64 sq mi (1,340.69 km2)",1.25 sq mi (3.25 km2),"14,565.76 sq mi (37,725.1 km2)","1,086 ft (331 m)",,UTC−7 (MST (no DST)),85001-85099,",480,602,623",04-55000,Phoenix Sky Harbor International Airport,www.phoenix.gov,1340.69,3.25,37725.1,331.0
6,Philadelphia,Pennsylvania,1584138,1526006,3.81,347.6,4511,40°00′34″N 75°08′00″W,"Philadelphia (Ancient Greek: φίλος ἀδελφός), known colloquially as Philly, is the largest city in the U.S. state and Commonwealth of Pennsylvania, and the sixth-most populous U.S. city, with a 2018 census-estimated population of 1,584,138. Since 1854, the city has been coterminous with Philadelphia County, the most populous county in Pennsylvania and the urban core of the eighth-largest U.S. metropolitan statistical area, with over 6 million residents as of 2017[update]. Philadelphia is also the economic and cultural anchor of the greater Delaware Valley, located along the lower Delaware and Schuylkill Rivers, within the Northeast megalopolis. The Delaware Valley's population of 7.2 million ranks it as the eighth-largest combined statistical area in the United States.","Philly, The City of Brotherly Love, The Athens of America,  and other nicknames of Philadelphia",Philadelphia,"Mayor–council, consolidated city-county",Philadelphia City Council,Jim Kenney (D),134.28 sq mi (347.78 km2),8.42 sq mi (21.81 km2),"6,096,120 (US: 8th)[5]",39 ft (12 m),7206807.0,UTC-5 (EST),"19092-19093, 19099, 191xx","215,267,445",42-60000,Philadelphia International Airport,www.phila.gov,347.78,21.81,,12.0
7,San Antonio,Texas,1532233,1327407,15.43,1194.0,1250,29°28′21″N 98°31′30″W,"San Antonio (/ˌsæn ænˈtoʊnioʊ/; from Spanish, ""Saint Anthony""), officially the City of San Antonio, is the seventh-most populous city in the United States, and the second-most populous city in both Texas and the Southern United States, with more than 1.5 million residents. Founded as a Spanish mission and colonial outpost in 1718, the city became the first chartered civil settlement in present-day Texas in 1731. The area was still part of the Spanish Empire, and later of the Mexican Republic. Today it is the state's oldest municipality.","San Antone , Alamo City, Military City USA, River City, The 210, S.A., Countdown City, Something to Remember","Bexar, Medina, Comal",Council-Manager,San Antonio City Council,Ron Nirenberg (I),"460.93[8] sq mi (1,193.7 km2)",4.5 sq mi (11.7 km2),"2,473,974 (24th)",650 ft (198 m),,UTC−6 (CST),,"210,,830,,726",,San Antonio International AirportSAT (Major/International),www.SanAntonio.gov,1193.7,11.7,,198.0
8,San Diego,California,1425976,1307402,9.07,842.3,1670,32°48′55″N 117°08′06″W,"San Diego (/ˌsæn diˈeɪɡoʊ/; Spanish for ""Saint Didacus""; Spanish: [san ˈdjeɣo]) is a city in the U.S. state of California. It is in San Diego County, on the coast of the Pacific Ocean in Southern California, approximately 120 miles (190 km) south of Los Angeles and immediately adjacent to the border with Mexico.","America's Finest City, Sandi",San Diego,Strong mayor,San Diego City Council,Kevin Faulconer (R),325.19 sq mi (842.25 km2),47.20 sq mi (122.24 km2)  12.68%,"3,317,749 (17th)",62 ft (19 m),,UTC−8 (Pacific),"92101-92124, 92126-92132, 92134-92140, 92142, 92143, 92145, 92147, 92149-92155, 92158-92161, 92163, 92165-92179, 92182, 92186, 92187, 92190-92199","619,858",06-66000,San Diego International Airport,SanDiego.gov,842.25,122.24,,19.0
9,Dallas,Texas,1345047,1197816,12.29,882.9,1493,32°47′36″N 96°45′59″W,"Dallas (/ˈdæləs/), officially the City of Dallas, is a city in the U.S. state of Texas and the seat of Dallas County, with portions extending into Collin, Denton, Kaufman and Rockwall counties. With an estimated 2017 population of 1,341,075, it is the ninth most-populous city in the U.S. and third in Texas after Houston and San Antonio. It is also the eighteenth most-populous city in North America as of 2015. Located in North Texas, the city of Dallas is the main core of the largest metropolitan area in the Southern United States and the largest inland metropolitan area in the U.S. that lacks any navigable link to the sea. It is the most populous city in the Dallas–Fort Worth metroplex, the fourth-largest metropolitan area in the country at 7.5 million people as of 2018. The city's combined statistical area is the seventh-largest in the U.S. as of 2017, with 7,846,293 residents.","Big D, D-Town, America's City","Dallas, Collin, Denton, Rockwall, Kaufman",Council–Manager,Dallas City Council,Mike Rawlings (D),340.5 sq mi (881.9 km2),45.3 sq mi (117.4 km2),"7,233,323 (4th)",430 ft (131 m),7673305.0,UTC−6 (Central),"75201-75212, 75214-75238, 75240-75254, 75258, 75260-75267, 75270, 75275, 75277, 75283-75287, 75301, 75303, 75310, 75312-75313, 75315, 75320, 75323, 75326, 75334, 75336, 75339-75340, 75342-75344, 75354-75360, 75367-75368, 75370-75374, 75376, 75378-75382, 75387, 75389-75394","214,469,972,682,817",48-19000,,dallascityhall.com,881.9,117.4,,131.0
10,San Jose,California,1030119,945942,8.9,459.7,2231,37°17′48″N 121°49′08″W,"San Jose (/ˌsæn hoʊˈzeɪ, -ˈseɪ/; Spanish for 'Saint Joseph'; Spanish: [saŋ xoˈse]), officially the City of San José, is the economic, cultural and political center of Silicon Valley, and the largest city in Northern California (both by population and area). With an estimated 2017 population of 1,035,317, it is the third-most populous city in California (after Los Angeles and San Diego) and the tenth-most populous in United States. Located in the center of the Santa Clara Valley, on the southern shore of San Francisco Bay, San Jose covers an area of 179.97 square miles (466.1 km2). San Jose is the county seat of Santa Clara County, the most affluent county in California and one of the most affluent counties in the United States. San Jose is the most populous city in both the San Francisco Bay Area and the San Jose-San Francisco-Oakland Combined Statistical Area, which contain 7.7 million and 8.7 million people respectively.",,Santa Clara,Council–manager,San Jose City Council,Sam Liccardo (D),177.51 sq mi (459.75 km2),3.01 sq mi (7.80 km2)  1.91%,San Jose-Sunnyvale-Santa Clara,82 ft (25 m),8837789.0,UTC−8 (Pacific Time Zone),"950029500895101951039510695108-9511395115-951419514895150-9516195164, 95170951729517395190-9595196",408-669,06-68000,San Jose International Airport,www.sanjoseca.gov,459.75,7.8,,25.0
